"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",2307273,="14/07/2018 22:45:00",1.5,3,4,8,18,19,25,26,27,38,39,40,42,46,56,57,66,67,70,75,79
"KENO",2307274,="14/07/2018 22:48:30",2.0,4,5,9,10,14,19,21,22,25,27,30,34,36,43,46,48,56,68,75,80
"KENO",2307275,="14/07/2018 22:52:00",2.0,9,11,15,16,22,24,25,29,34,35,36,44,49,50,52,57,60,66,74,79
"KENO",2307276,="14/07/2018 22:55:30",2.0,1,14,17,18,21,23,32,34,40,41,43,52,54,59,60,66,74,75,77,80
"KENO",2307277,="14/07/2018 22:59:00",2.0,2,14,17,24,26,34,35,36,37,44,47,52,53,54,57,58,60,62,72,78
"KENO",2307278,="14/07/2018 23:02:30",1.5,1,2,3,6,8,9,25,28,32,35,36,39,40,42,48,55,69,71,76,78
"KENO",2307279,="14/07/2018 23:06:00",2.0,6,7,13,15,18,25,27,32,44,46,47,48,50,58,64,67,69,72,79,80
"KENO",2307280,="14/07/2018 23:09:30",1.5,6,15,16,22,26,28,29,35,37,42,47,51,52,53,56,58,60,64,69,79
"KENO",2307281,="14/07/2018 23:13:00",1.5,10,12,16,22,30,34,36,38,39,55,57,61,62,64,66,72,74,76,77,80
"KENO",2307282,="14/07/2018 23:16:30",1.5,6,8,9,12,16,18,19,25,33,40,46,49,51,57,61,63,64,65,68,73
"KENO",2307283,="14/07/2018 23:20:00",5.0,2,6,13,17,18,21,23,29,31,34,38,41,43,49,50,53,63,65,70,71
"KENO",2307284,="14/07/2018 23:23:30",2.0,3,9,16,17,23,25,28,33,38,39,42,43,45,48,53,58,59,65,71,74
"KENO",2307285,="14/07/2018 23:27:00",5.0,1,11,31,33,34,35,37,38,40,43,45,48,49,59,61,62,65,66,71,77
"KENO",2307286,="14/07/2018 23:30:30",1.5,6,12,13,14,15,17,24,26,34,35,36,37,45,49,53,54,67,69,74,75
"KENO",2307287,="14/07/2018 23:34:00",5.0,3,4,5,9,11,12,14,18,23,29,39,48,54,58,65,67,68,71,74,79
"KENO",2307288,="14/07/2018 23:37:30",10.0,6,9,11,12,15,17,29,33,36,39,42,44,46,48,49,50,54,58,66,71
"KENO",2307289,="14/07/2018 23:41:00",1.5,1,2,4,13,19,20,25,26,28,29,48,52,57,61,62,64,67,69,75,76
"KENO",2307290,="14/07/2018 23:44:30",1.5,3,4,5,9,11,13,15,23,32,38,41,42,47,53,55,61,66,68,75,76
"KENO",2307291,="14/07/2018 23:48:00",2.0,8,9,11,16,20,29,39,46,52,53,54,56,57,58,59,60,67,74,75,77
"KENO",2307292,="14/07/2018 23:51:30",2.0,1,5,9,10,15,19,27,33,44,45,49,52,58,59,62,63,65,70,74,77
"KENO",2307293,="14/07/2018 23:55:00",2.0,2,20,25,27,31,32,37,40,41,43,44,48,50,55,59,61,63,73,76,78
"KENO",2307294,="14/07/2018 23:58:30",2.0,5,11,16,21,23,24,26,27,30,40,41,42,43,47,53,57,60,67,69,76
"KENO",2307295,="15/07/2018 0:02:00",2.0,8,9,15,17,22,23,24,26,33,46,50,61,62,67,70,71,73,75,77,79
"KENO",2307296,="15/07/2018 0:05:30",1.5,8,9,11,19,25,27,28,30,35,43,45,49,50,52,54,63,64,65,75,79
"KENO",2307297,="15/07/2018 0:09:00",2.0,1,11,13,14,19,30,37,39,45,46,51,55,59,61,63,67,68,70,71,79
"KENO",2307298,="15/07/2018 0:12:30",1.5,4,10,13,21,26,28,29,32,43,44,48,50,51,54,62,63,66,70,74,75
"KENO",2307299,="15/07/2018 0:16:00",1.5,1,2,10,17,20,23,32,36,40,43,44,51,54,60,61,63,66,69,74,77
"KENO",2307300,="15/07/2018 0:19:30",2.0,2,4,6,12,19,20,21,22,24,27,31,45,50,58,59,60,62,72,74,79
"KENO",2307301,="15/07/2018 0:23:00",1.5,2,9,13,14,18,31,37,39,43,46,61,63,65,66,67,68,70,71,72,75
"KENO",2307302,="15/07/2018 0:26:30",1.5,3,4,6,7,18,37,38,45,46,54,57,61,63,66,68,69,70,75,76,79
"KENO",2307303,="15/07/2018 0:30:00",2.0,13,14,15,16,18,21,26,28,32,45,46,47,49,50,54,56,57,65,68,73
"KENO",2307304,="15/07/2018 0:33:30",1.5,2,7,9,13,19,20,30,35,37,44,46,53,56,63,69,70,75,76,77,79
"KENO",2307305,="15/07/2018 0:37:00",2.0,5,7,12,14,15,22,34,39,44,49,50,52,59,64,65,69,70,72,76,78
"KENO",2307306,="15/07/2018 0:40:30",2.0,10,13,15,20,25,26,28,30,38,42,43,45,46,53,56,65,70,71,77,80
"KENO",2307307,="15/07/2018 0:44:00",2.0,1,5,6,17,19,23,28,29,42,43,46,48,51,52,53,55,57,62,64,68
"KENO",2307308,="15/07/2018 0:47:30",1.5,1,12,16,22,25,26,27,29,37,39,40,53,61,64,68,72,73,74,76,79
"KENO",2307309,="15/07/2018 0:51:00",1.5,5,8,24,29,32,33,38,51,54,55,59,60,61,63,64,65,66,68,77,78
"KENO",2307310,="15/07/2018 0:54:30",2.0,7,10,12,16,24,26,30,33,37,39,42,44,45,52,54,56,58,72,73,77
"KENO",2307311,="15/07/2018 0:58:00",2.0,5,7,8,11,14,20,24,25,29,37,38,48,49,53,54,58,63,68,75,80
"KENO",2307312,="15/07/2018 1:01:30",2.0,3,9,12,17,20,21,24,31,32,42,51,53,58,64,67,71,73,74,75,80
"KENO",2307313,="15/07/2018 1:05:00",2.0,8,15,19,20,21,23,26,30,32,35,39,43,54,55,61,63,64,65,69,79
"KENO",2307314,="15/07/2018 1:08:30",2.0,4,6,12,24,32,33,43,45,46,47,50,53,62,63,64,66,71,73,77,79
"KENO",2307315,="15/07/2018 1:12:00",2.0,1,4,7,14,15,17,23,27,29,30,43,45,47,53,55,56,57,61,68,72
"KENO",2307316,="15/07/2018 1:15:30",1.5,4,7,12,13,16,23,29,30,41,42,47,50,51,58,59,60,61,63,69,79
"KENO",2307317,="15/07/2018 1:19:00",1.5,2,9,14,15,16,25,26,29,32,39,43,46,47,53,60,72,74,75,78,79
"KENO",2307318,="15/07/2018 1:22:30",1.5,7,9,13,17,21,23,25,31,32,37,40,41,42,43,47,61,62,65,68,69
"KENO",2307319,="15/07/2018 1:26:00",1.5,1,3,9,11,19,27,28,39,40,43,45,47,60,62,64,65,66,67,70,80
"KENO",2307320,="15/07/2018 1:29:30",2.0,2,8,11,14,18,20,26,30,34,42,48,49,53,57,58,59,64,69,73,80
"KENO",2307321,="15/07/2018 1:33:00",1.5,1,6,11,14,15,24,25,41,47,50,54,56,60,63,67,71,72,73,77,79
"KENO",2307322,="15/07/2018 1:36:30",2.0,1,10,12,19,20,25,30,32,38,42,43,49,56,62,64,72,73,76,77,79
"KENO",2307323,="15/07/2018 1:40:00",2.0,6,11,15,20,25,26,27,33,34,35,51,54,56,57,59,63,67,68,73,79
"KENO",2307324,="15/07/2018 1:43:30",1.5,1,5,10,15,16,20,34,35,36,40,42,47,50,51,53,54,55,63,69,74
"KENO",2307325,="15/07/2018 1:47:00",2.0,1,7,9,11,14,15,17,19,21,30,35,36,39,42,47,50,63,70,74,75
"KENO",2307326,="15/07/2018 1:50:30",1.5,5,9,16,21,22,24,26,40,41,42,43,45,53,61,62,63,67,68,70,74
"KENO",2307327,="15/07/2018 1:54:00",2.0,2,3,5,7,8,22,32,37,39,41,47,53,55,59,60,61,65,67,69,79
"KENO",2307328,="15/07/2018 1:57:30",2.0,3,8,16,22,26,30,34,35,36,37,40,59,60,62,65,67,74,76,78,79
"KENO",2307329,="15/07/2018 2:01:00",1.5,2,7,11,17,20,23,28,31,32,34,35,44,48,49,55,61,63,64,67,77
"KENO",2307330,="15/07/2018 2:04:30",2.0,1,3,9,21,24,28,31,38,40,43,44,46,55,58,61,67,70,73,74,75
"KENO",2307331,="15/07/2018 2:08:00",1.5,8,11,12,20,23,25,26,27,31,38,39,45,48,49,52,54,57,69,79,80
"KENO",2307332,="15/07/2018 2:11:30",2.0,1,5,9,10,12,16,18,22,24,28,29,30,42,43,53,54,58,65,70,74
"KENO",2307333,="15/07/2018 2:15:00",2.0,3,7,8,18,20,22,30,33,40,44,45,46,48,55,57,60,64,66,67,78
"KENO",2307334,="15/07/2018 2:18:30",2.0,2,6,8,9,18,37,38,43,47,49,53,57,59,61,62,63,73,76,78,79
"KENO",2307335,="15/07/2018 2:22:00",1.5,8,9,13,23,24,25,27,40,41,42,54,55,56,58,59,62,63,64,72,75
"KENO",2307336,="15/07/2018 2:25:30",2.0,2,4,10,17,19,20,25,26,30,32,40,41,48,50,51,55,60,63,64,79
"KENO",2307337,="15/07/2018 2:29:00",1.5,3,4,5,10,13,19,22,24,28,30,31,45,46,54,61,68,70,72,74,79
"KENO",2307338,="15/07/2018 2:32:30",1.5,6,8,13,23,25,31,44,48,49,54,55,58,60,61,64,65,66,74,76,78
"KENO",2307339,="15/07/2018 2:36:00",2.0,15,29,30,34,37,39,41,44,48,49,51,53,55,59,68,72,75,76,77,79
"KENO",2307340,="15/07/2018 2:39:30",1.5,1,5,16,17,20,21,31,36,37,43,44,45,46,50,53,57,72,74,76,77
"KENO",2307341,="15/07/2018 2:43:00",1.5,4,6,22,27,29,39,45,48,50,53,54,57,62,63,65,69,71,72,77,80
"KENO",2307342,="15/07/2018 2:46:30",1.5,1,2,7,9,16,19,20,21,24,28,30,32,48,51,53,59,64,66,67,71
"KENO",2307343,="15/07/2018 2:50:00",2.0,4,6,11,14,17,21,26,28,30,34,40,43,45,49,60,61,68,73,74,80
"KENO",2307344,="15/07/2018 2:53:30",2.0,1,3,6,11,12,13,19,27,28,29,31,34,36,38,42,46,52,58,61,73
"KENO",2307345,="15/07/2018 2:57:00",2.0,2,7,14,16,18,19,32,33,35,38,40,44,46,49,51,52,54,65,70,76
"KENO",2307346,="15/07/2018 3:00:30",2.0,6,7,13,15,22,25,27,30,31,35,38,40,46,47,48,51,54,56,62,69
"KENO",2307347,="15/07/2018 3:04:00",1.5,2,8,9,11,19,25,27,28,34,36,37,43,46,52,58,60,61,64,69,75
"KENO",2307348,="15/07/2018 3:07:30",1.5,1,3,4,12,13,14,15,20,21,22,27,35,43,48,50,53,55,57,67,72
"KENO",2307349,="15/07/2018 3:11:00",2.0,3,4,8,9,12,13,16,17,21,26,34,38,41,48,56,61,67,73,78,80
"KENO",2307350,="15/07/2018 3:14:30",5.0,2,5,6,8,15,23,30,32,43,45,47,52,55,59,65,72,74,76,77,80
"KENO",2307351,="15/07/2018 3:18:00",1.5,1,3,7,11,15,16,17,22,32,35,39,43,45,46,47,50,55,59,74,77
"KENO",2307352,="15/07/2018 3:21:30",2.0,8,12,16,17,20,25,30,31,33,35,36,38,39,44,46,49,54,57,63,73
"KENO",2307353,="15/07/2018 3:25:00",1.5,8,15,16,20,21,22,26,28,30,32,34,37,39,46,52,53,54,69,75,80
"KENO",2307354,="15/07/2018 3:28:30",2.0,2,4,7,11,16,17,20,21,22,27,29,37,38,42,44,46,52,55,64,73
"KENO",2307355,="15/07/2018 3:32:00",5.0,9,13,18,20,24,25,27,31,33,40,44,46,47,52,53,56,60,65,68,75
"KENO",2307356,="15/07/2018 3:35:30",2.0,2,7,17,18,22,24,25,39,40,41,51,55,56,57,60,66,68,69,72,76
"KENO",2307357,="15/07/2018 3:39:00",5.0,1,2,4,7,16,17,20,25,28,29,32,40,43,58,61,63,67,69,72,73
"KENO",2307358,="15/07/2018 3:42:30",2.0,2,3,5,12,14,15,23,24,26,29,50,53,59,65,68,72,73,74,78,80
"KENO",2307359,="15/07/2018 3:46:00",1.5,2,5,6,12,18,20,23,26,28,30,35,36,38,40,42,45,50,55,63,75
"KENO",2307360,="15/07/2018 3:49:30",5.0,2,10,16,20,21,23,26,28,33,35,37,38,43,45,48,49,52,58,61,79
"KENO",2307361,="15/07/2018 3:53:00",1.5,18,25,26,27,30,31,34,40,48,50,55,56,57,62,66,67,73,75,76,78
"KENO",2307362,="15/07/2018 3:56:30",2.0,2,3,7,10,13,22,28,31,42,43,44,51,52,57,58,63,71,73,74,75
"KENO",2307363,="15/07/2018 4:00:00",2.0,2,5,8,19,22,29,34,35,36,40,43,44,45,53,62,67,70,76,77,80
"KENO",2307364,="15/07/2018 5:04:30",2.0,2,4,5,8,12,14,19,22,32,33,39,40,47,52,60,62,63,64,66,79
"KENO",2307365,="15/07/2018 5:08:00",1.5,8,14,23,26,27,28,33,41,43,45,49,51,52,56,58,59,61,71,75,79
"KENO",2307366,="15/07/2018 5:11:30",5.0,9,12,14,15,19,22,25,31,37,40,43,47,49,52,60,63,65,71,76,77
"KENO",2307367,="15/07/2018 5:15:00",1.5,4,6,10,12,16,22,23,24,25,34,35,37,41,42,44,47,52,54,74,80
